Vehicle ID;O;D;Travel time
4.44;B1B_0;MM1_0;1709
4.45;B1B_0;MM1_0;1712
1.6;A1A_0;:L_3_0;1866
2.7;A1A_0;:M_0_0;1832
1.7;A1A_0;:L_3_0;1871
4.46;B1B_0;MM1_0;1724
4.47;B1B_0;MM1_0;1726
1.8;A1A_0;:L_3_0;1880
4.48;B1B_0;MM1_0;1729
2.8;A1A_0;:M_0_0;1851
1.9;A1A_0;:L_3_0;1889
4.49;B1B_0;MM1_0;1741
1.10;A1A_0;:L_3_0;1894
4.50;B1B_0;:M_0_0;1742
4.51;B1B_0;:M_0_0;1745
1.11;A1A_0;:L_3_0;1900
2.9;A1A_0;MM1_0;1871
1.12;A1A_0;:L_3_0;1905
4.52;B1B_0;:M_0_0;1760
1.13;A1A_0;:L_3_0;1910
4.53;B1B_0;MM1_0;1764
1.14;A1A_0;:L_3_0;1915
4.54;B1B_0;MM1_0;1768
2.10;A1A_0;MM1_0;1895
1.15;A1A_0;:L_3_0;1921
4.55;B1B_0;MM1_0;1780
1.16;A1A_0;:L_3_0;1928
4.56;B1B_0;:M_0_0;1782
4.57;B1B_0;MM1_0;1786
1.17;A1A_0;:L_3_0;1937
2.11;A1A_0;:M_0_0;1916
1.18;A1A_0;:L_3_0;1943
4.58;B1B_0;MM1_0;1798
4.59;B1B_0;MM1_0;1800
1.19;A1A_0;:L_3_0;1950
4.60;B1B_0;:M_0_0;1803
1.20;A1A_0;:L_3_0;1954
2.12;A1A_0;:M_0_0;1936
4.61;B1B_0;MM1_0;1815
1.21;A1A_0;:L_3_0;1962
4.62;B1B_0;:M_0_0;1818
1.22;A1A_0;:L_3_0;1968
4.63;B1B_0;MM1_0;1821
2.13;A1A_0;MM1_0;1956
1.23;A1A_0;:L_3_0;1976
4.64;B1B_0;MM1_0;1833
4.65;B1B_0;MM1_0;1835
1.24;A1A_0;:L_3_0;1983
4.66;B1B_0;:M_0_0;1838
1.25;A1A_0;:L_3_0;1989
2.14;A1A_0;:M_0_0;1976
3.0;B1B_0;:L_3_0;2112
4.67;B1B_0;:M_0_0;1850
4.68;B1B_0;MM1_0;1853
1.26;A1A_0;:L_3_0;2003
3.1;B1B_0;:L_3_0;2121
4.69;B1B_0;:M_0_0;1856
3.2;B1B_0;:L_3_0;2124
4.70;B1B_0;MM1_0;1862
2.15;A1A_0;:M_0_0;2004
1.27;A1A_0;:L_3_0;2020
4.71;B1B_0;MM1_0;1871
3.3;B1B_0;:L_3_0;2131
4.72;B1B_0;MM1_0;1874
1.28;A1A_0;:L_3_0;2032
4.73;B1B_0;MM1_0;1879
3.4;B1B_0;:L_3_0;2141
4.74;B1B_0;MM1_0;1880
3.5;B1B_0;:L_3_0;2142
2.16;A1A_0;:M_0_0;2031
1.29;A1A_0;:L_3_0;2049
4.75;B1B_0;:M_0_0;1890
3.6;B1B_0;:L_3_0;2152
4.76;B1B_0;MM1_0;1896
1.30;A1A_0;:L_3_0;2061
2.17;A1A_0;MM1_0;2044
3.7;B1B_0;:L_3_0;2160
4.77;B1B_0;MM1_0;1905
3.8;B1B_0;:L_3_0;2163
4.78;B1B_0;MM1_0;1908
1.31;A1A_0;:L_3_0;2076
4.79;B1B_0;MM1_0;1914
3.9;B1B_0;:L_3_0;2170
2.18;A1A_0;MM1_0;2065
1.32;A1A_0;:L_3_0;2088
4.80;B1B_0;MM1_0;1924
3.10;B1B_0;:L_3_0;2179
4.81;B1B_0;:M_0_0;1927
3.11;B1B_0;:L_3_0;2179
4.82;B1B_0;MM1_0;1933
1.33;A1A_0;:L_3_0;2104
2.19;A1A_0;MM1_0;2087
3.12;B1B_0;:L_3_0;2191
4.83;B1B_0;:M_0_0;1943
1.34;A1A_0;:L_3_0;2117
3.13;B1B_0;:L_3_0;2199
4.84;B1B_0;MM1_0;1945
1.35;A1A_0;:L_3_0;2125
2.20;A1A_0;MM1_0;2102
3.14;B1B_0;:L_3_0;2210
4.85;B1B_0;MM1_0;1958
4.86;B1B_0;MM1_0;1960
1.36;A1A_0;:L_3_0;2139
4.87;B1B_0;:M_0_0;1963
3.15;B1B_0;:L_3_0;2220
2.21;A1A_0;MM1_0;2122
3.16;B1B_0;:L_3_0;2223
4.88;B1B_0;MM1_0;1976
1.37;A1A_0;:L_3_0;2156
4.89;B1B_0;MM1_0;1978
3.17;B1B_0;:L_3_0;2231
4.90;B1B_0;:M_0_0;1982
1.38;A1A_0;:L_3_0;2168
2.22;A1A_0;MM1_0;2144
3.18;B1B_0;:L_3_0;2241
4.91;B1B_0;MM1_0;1995
1.39;A1A_0;:L_3_0;2176
3.19;B1B_0;:L_3_0;2247
4.92;B1B_0;MM1_0;1996
4.93;B1B_0;MM1_0;1999
1.40;A1A_0;:L_3_0;2187
3.20;B1B_0;:L_3_0;2256
2.23;A1A_0;MM1_0;2165
3.21;B1B_0;:L_3_0;2255
4.94;B1B_0;:M_0_0;2013
1.41;A1A_0;:L_3_0;2201
4.95;B1B_0;MM1_0;2016
3.22;B1B_0;:L_3_0;2265
4.96;B1B_0;:M_0_0;2020
1.42;A1A_0;:L_3_0;2214
2.24;A1A_0;:M_0_0;2187
3.23;B1B_0;:L_3_0;2273
4.97;B1B_0;:M_0_0;2033
3.24;B1B_0;:L_3_0;2276
4.98;B1B_0;MM1_0;2036
1.43;A1A_0;:L_3_0;2230
4.99;B1B_0;MM1_0;2038
3.25;B1B_0;:L_3_0;2286
2.25;A1A_0;:M_0_0;2207
1.44;A1A_0;:L_3_0;2244
4.100;B1B_0;MM1_0;2051
3.26;B1B_0;:L_3_0;2297
4.101;B1B_0;:M_0_0;2052
3.27;B1B_0;:L_3_0;2296
2.26;A1A_0;MM1_0;2223
1.45;A1A_0;:L_3_0;2260
4.102;B1B_0;MM1_0;2063
3.28;B1B_0;:L_3_0;2307
4.103;B1B_0;MM1_0;2068
1.46;A1A_0;:L_3_0;2273
4.104;B1B_0;:M_0_0;2069
3.29;B1B_0;:L_3_0;2317
2.27;A1A_0;:M_0_0;2243
3.30;B1B_0;:L_3_0;2319
4.105;B1B_0;MM1_0;2078
1.47;A1A_0;:L_3_0;2289
4.106;B1B_0;MM1_0;2082
3.31;B1B_0;:L_3_0;2325
4.107;B1B_0;:M_0_0;2086
1.48;A1A_0;:L_3_0;2299
2.28;A1A_0;:M_0_0;2265
3.32;B1B_0;:L_3_0;2335
4.108;B1B_0;MM1_0;2097
3.33;B1B_0;:L_3_0;2336
4.109;B1B_0;:M_0_0;2102
1.49;A1A_0;:L_3_0;2315
4.110;B1B_0;:M_0_0;2104
3.34;B1B_0;:L_3_0;2345
2.29;A1A_0;MM1_0;2283
1.50;A1A_0;:L_3_0;2326
4.111;B1B_0;:M_0_0;2115
3.35;B1B_0;:L_3_0;2353
4.112;B1B_0;MM1_0;2122
1.51;A1A_0;:L_3_0;2336
4.113;B1B_0;MM1_0;2124
3.36;B1B_0;:L_3_0;2364
2.30;A1A_0;:M_0_0;2304
1.52;A1A_0;:L_3_0;2349
4.114;B1B_0;MM1_0;2134
3.37;B1B_0;:L_3_0;2373
4.115;B1B_0;:M_0_0;2140
3.38;B1B_0;:L_3_0;2376
4.116;B1B_0;:M_0_0;2143
1.53;A1A_0;:L_3_0;2365
2.31;A1A_0;MM1_0;2327
3.39;B1B_0;:L_3_0;2384
4.117;B1B_0;:M_0_0;2154
1.54;A1A_0;:L_3_0;2377
4.118;B1B_0;:M_0_0;2159
3.40;B1B_0;:L_3_0;2394
4.119;B1B_0;MM1_0;2163
3.41;B1B_0;:L_3_0;2394
2.32;A1A_0;:M_0_0;2349
1.55;A1A_0;:L_3_0;2393
3.42;B1B_0;:L_3_0;2404
4.120;B1B_0;MM1_0;2176
1.56;A1A_0;:L_3_0;2405
4.121;B1B_0;MM1_0;2181
3.43;B1B_0;:L_3_0;2411
4.122;B1B_0;MM1_0;2183
1.57;A1A_0;:L_3_0;2414
4.123;B1B_0;MM1_0;2186
3.44;B1B_0;:L_3_0;2423
2.33;A1A_0;:M_0_0;2379
4.124;B1B_0;MM1_0;2198
3.45;B1B_0;:L_3_0;2422
1.58;A1A_0;:L_3_0;2431
4.125;B1B_0;MM1_0;2200
3.46;B1B_0;:L_3_0;2431
4.126;B1B_0;MM1_0;2201
1.59;A1A_0;:L_3_0;2439
4.127;B1B_0;MM1_0;2206
3.47;B1B_0;:L_3_0;2438
4.128;B1B_0;MM1_0;2207
1.60;A1A_0;:L_3_0;2451
2.35;A1A_0;MM1_0;2402
4.129;B1B_0;:M_0_0;2217
3.48;B1B_0;:L_3_0;2448
4.130;B1B_0;MM1_0;2222
3.49;B1B_0;:L_3_0;2448
1.61;A1A_0;:L_3_0;2466
4.131;B1B_0;MM1_0;2225
4.132;B1B_0;:M_0_0;2227
3.50;B1B_0;:L_3_0;2458
1.62;A1A_0;:L_3_0;2478
2.36;A1A_0;MM1_0;2431
3.51;B1B_0;:L_3_0;2465
4.133;B1B_0;:M_0_0;2242
3.52;B1B_0;:L_3_0;2469
4.134;B1B_0;:M_0_0;2245
3.53;B1B_0;:L_3_0;2469
2.37;A1A_0;MM1_0;2443
1.63;A1A_0;:L_3_0;2502
4.135;B1B_0;:M_0_0;2254
3.54;B1B_0;:L_3_0;2479
4.136;B1B_0;MM1_0;2258
4.137;B1B_0;:M_0_0;2259
1.64;A1A_0;:L_3_0;2514
3.55;B1B_0;:L_3_0;2487
2.38;A1A_0;MM1_0;2463
3.56;B1B_0;:L_3_0;2488
4.138;B1B_0;:M_0_0;2270
1.65;A1A_0;:L_3_0;2529
4.139;B1B_0;MM1_0;2277
3.57;B1B_0;:L_3_0;2494
4.140;B1B_0;:M_0_0;2280
1.66;A1A_0;:L_3_0;2541
2.39;A1A_0;MM1_0;2486
3.58;B1B_0;:L_3_0;2507
4.141;B1B_0;MM1_0;2290
3.59;B1B_0;:L_3_0;2506
4.142;B1B_0;:M_0_0;2295
1.67;A1A_0;:L_3_0;2558
4.143;B1B_0;MM1_0;2297
3.60;B1B_0;:L_3_0;2517
2.40;A1A_0;MM1_0;2505
1.68;A1A_0;:L_3_0;2569
4.144;B1B_0;:M_0_0;2307
3.61;B1B_0;:L_3_0;2525
4.145;B1B_0;MM1_0;2313
3.62;B1B_0;:L_3_0;2528
2.34;A1A_0;MM1_0;2582
1.69;A1A_0;:L_3_0;2586
4.146;B1B_0;:M_0_0;2323
3.63;B1B_0;:L_3_0;2535
2.41;A1A_0;MM1_0;2534
1.70;A1A_0;:L_3_0;2597
4.147;B1B_0;MM1_0;2335
3.64;B1B_0;:L_3_0;2546
4.148;B1B_0;:M_0_0;2340
3.65;B1B_0;:L_3_0;2546
4.149;B1B_0;:M_0_0;2341
1.71;A1A_0;:L_3_0;2613
2.42;A1A_0;MM1_0;2554
3.66;B1B_0;:L_3_0;2555
4.150;B1B_0;MM1_0;2352
1.72;A1A_0;:L_3_0;2627
4.151;B1B_0;:M_0_0;2357
3.67;B1B_0;:L_3_0;2564
4.152;B1B_0;MM1_0;2360
3.68;B1B_0;:L_3_0;2565
2.43;A1A_0;:M_0_0;2575
1.73;A1A_0;:L_3_0;2642
4.153;B1B_0;MM1_0;2370
3.69;B1B_0;:L_3_0;2572
4.154;B1B_0;:M_0_0;2375
1.74;A1A_0;:L_3_0;2654
4.155;B1B_0;MM1_0;2378
3.70;B1B_0;:L_3_0;2581
2.44;A1A_0;:M_0_0;2595
3.71;B1B_0;:L_3_0;2579
4.156;B1B_0;:M_0_0;2388
1.75;A1A_0;:L_3_0;2669
4.157;B1B_0;MM1_0;2394
3.72;B1B_0;:L_3_0;2592
4.158;B1B_0;:M_0_0;2396
1.76;A1A_0;:L_3_0;2681
2.45;A1A_0;MM1_0;2617
3.73;B1B_0;:L_3_0;2599
4.159;B1B_0;MM1_0;2407
3.74;B1B_0;:L_3_0;2603
4.160;B1B_0;MM1_0;2412
1.77;A1A_0;:L_3_0;2698
4.161;B1B_0;:M_0_0;2413
3.75;B1B_0;:L_3_0;2610
2.46;A1A_0;MM1_0;2636
1.78;A1A_0;:L_3_0;2709
4.162;B1B_0;MM1_0;2423
4.163;B1B_0;:M_0_0;2428
3.76;B1B_0;:L_3_0;2621
4.164;B1B_0;MM1_0;2431
1.79;A1A_0;:L_3_0;2719
2.47;A1A_0;MM1_0;2655
3.77;B1B_0;:L_3_0;2630
4.165;B1B_0;:M_0_0;2441
1.80;A1A_0;:L_3_0;2731
4.166;B1B_0;MM1_0;2446
3.78;B1B_0;:L_3_0;2640
4.167;B1B_0;MM1_0;2448
3.79;B1B_0;:L_3_0;2640
2.48;A1A_0;MM1_0;2675
1.81;A1A_0;:L_3_0;2748
4.168;B1B_0;MM1_0;2458
3.80;B1B_0;:L_3_0;2653
4.169;B1B_0;MM1_0;2463
1.82;A1A_0;:L_3_0;2761
4.170;B1B_0;:M_0_0;2466
3.81;B1B_0;:L_3_0;2660
2.49;A1A_0;MM1_0;2696
3.82;B1B_0;:L_3_0;2661
4.171;B1B_0;:M_0_0;2476
1.83;A1A_0;:L_3_0;2774
3.83;B1B_0;:L_3_0;2667
4.172;B1B_0;MM1_0;2482
1.84;A1A_0;:L_3_0;2784
4.173;B1B_0;MM1_0;2484
3.84;B1B_0;:L_3_0;2675
4.174;B1B_0;MM1_0;2487
3.85;B1B_0;:L_3_0;2675
2.99;A1A_0;:M_0_0;2279
1.85;A1A_0;:L_3_0;2800
4.175;B1B_0;MM1_0;2501
3.86;B1B_0;:L_3_0;2685
4.176;B1B_0;MM1_0;2502
1.86;A1A_0;:L_3_0;2812
2.50;A1A_0;MM1_0;2747
3.87;B1B_0;:L_3_0;2692
4.177;B1B_0;MM1_0;2512
3.88;B1B_0;:L_3_0;2696
2.100;A1A_0;:M_0_0;2307
1.87;A1A_0;:L_3_0;2828
4.178;B1B_0;:M_0_0;2524
3.89;B1B_0;:L_3_0;2703
2.101;A1A_0;:M_0_0;2313
1.88;A1A_0;:L_3_0;2838
4.179;B1B_0;MM1_0;2535
3.90;B1B_0;:L_3_0;2712
3.91;B1B_0;:L_3_0;2710
4.180;B1B_0;MM1_0;2539
2.51;A1A_0;:M_0_0;2791
1.89;A1A_0;:L_3_0;2855
4.181;B1B_0;MM1_0;2551
3.92;B1B_0;:L_3_0;2721
2.102;A1A_0;MM1_0;2342
1.90;A1A_0;:L_3_0;2866
4.182;B1B_0;MM1_0;2560
3.93;B1B_0;:L_3_0;2728
3.94;B1B_0;:L_3_0;2731
2.103;A1A_0;:M_0_0;2349
1.91;A1A_0;:L_3_0;2882
4.183;B1B_0;MM1_0;2573
3.95;B1B_0;:L_3_0;2739
4.228;B1B_0;MM1_0;2404
1.92;A1A_0;:L_3_0;2894
4.184;B1B_0;MM1_0;2586
3.96;B1B_0;:L_3_0;2750
2.52;A1A_0;:M_0_0;2844
3.97;B1B_0;:L_3_0;2752
4.185;B1B_0;MM1_0;2595
4.229;B1B_0;MM1_0;2431
1.93;A1A_0;:L_3_0;2913
4.186;B1B_0;MM1_0;2604
3.98;B1B_0;:L_3_0;2762
2.104;A1A_0;MM1_0;2399
1.94;A1A_0;:L_3_0;2923
4.187;B1B_0;MM1_0;2616
3.99;B1B_0;:L_3_0;2770
2.53;A1A_0;MM1_0;2878
3.100;B1B_0;:L_3_0;2772
4.188;B1B_0;MM1_0;2626
1.95;A1A_0;:L_3_0;2938
2.105;A1A_0;MM1_0;2420
3.101;B1B_0;:L_3_0;2779
4.189;B1B_0;MM1_0;2637
1.96;A1A_0;:L_3_0;2949
2.106;A1A_0;MM1_0;2426
3.102;B1B_0;:L_3_0;2790
4.190;B1B_0;MM1_0;2650
1.97;A1A_0;:L_3_0;2959
4.230;B1B_0;:M_0_0;2498
3.103;B1B_0;:L_3_0;2798
4.191;B1B_0;:M_0_0;2660
1.98;A1A_0;:L_3_0;2970
3.104;B1B_0;:L_3_0;2806
2.54;A1A_0;:M_0_0;2929
3.105;B1B_0;:L_3_0;2806
4.192;B1B_0;:M_0_0;2671
1.99;A1A_0;:L_3_0;2983
2.107;A1A_0;MM1_0;2461
3.106;B1B_0;:L_3_0;2816
4.193;B1B_0;MM1_0;2685
1.100;A1A_0;:L_3_0;2996
2.108;A1A_0;:M_0_0;2468
3.107;B1B_0;:L_3_0;2825
4.194;B1B_0;:M_0_0;2695
3.108;B1B_0;:L_3_0;2829
4.195;B1B_0;MM1_0;2698
1.101;A1A_0;:L_3_0;3013
2.109;A1A_0;:M_0_0;2481
3.109;B1B_0;:L_3_0;2837
4.196;B1B_0;:M_0_0;2711
1.102;A1A_0;:L_3_0;3025
4.231;B1B_0;:M_0_0;2575
3.110;B1B_0;:L_3_0;2846
4.197;B1B_0;:M_0_0;2719
3.111;B1B_0;:L_3_0;2847
2.55;A1A_0;MM1_0;3001
1.103;A1A_0;:L_3_0;3040
4.198;B1B_0;:M_0_0;2730
3.112;B1B_0;:L_3_0;2855
4.232;B1B_0;MM1_0;2601
1.104;A1A_0;:L_3_0;3050
4.199;B1B_0;:M_0_0;2741
3.113;B1B_0;:L_3_0;2863
2.110;A1A_0;:M_0_0;2530
3.114;B1B_0;:L_3_0;2866
4.200;B1B_0;MM1_0;2750
2.111;A1A_0;:M_0_0;2535
1.105;A1A_0;:L_3_0;3069
4.201;B1B_0;MM1_0;2760
3.115;B1B_0;:L_3_0;2875
2.56;A1A_0;:M_0_0;3050
1.106;A1A_0;:L_3_0;3081
4.202;B1B_0;MM1_0;2774
3.116;B1B_0;:L_3_0;2884
2.112;A1A_0;:M_0_0;2556
3.117;B1B_0;:L_3_0;2884
1.107;A1A_0;:L_3_0;3096
4.203;B1B_0;MM1_0;2783
2.113;A1A_0;MM1_0;2562
3.118;B1B_0;:L_3_0;2894
1.108;A1A_0;:L_3_0;3108
4.204;B1B_0;MM1_0;2792
4.233;B1B_0;MM1_0;2682
3.119;B1B_0;:L_3_0;2901
4.205;B1B_0;:M_0_0;2805
3.120;B1B_0;:L_3_0;2904
1.109;A1A_0;:L_3_0;3125
2.57;A1A_0;:M_0_0;3100
4.206;B1B_0;:M_0_0;2815
3.121;B1B_0;:L_3_0;2914
2.114;A1A_0;MM1_0;2597
1.110;A1A_0;:L_3_0;3138
4.207;B1B_0;MM1_0;2826
3.122;B1B_0;:L_3_0;2924
2.115;A1A_0;MM1_0;2603
1.111;A1A_0;:L_3_0;3148
4.208;B1B_0;:M_0_0;2837
3.123;B1B_0;:L_3_0;2930
2.116;A1A_0;MM1_0;2608
1.112;A1A_0;:L_3_0;3158
4.209;B1B_0;:M_0_0;2846
3.124;B1B_0;:L_3_0;2941
4.234;B1B_0;MM1_0;2752
3.125;B1B_0;:L_3_0;2940
4.210;B1B_0;MM1_0;2858
1.113;A1A_0;:L_3_0;3175
2.58;A1A_0;:M_0_0;3165
3.126;B1B_0;:L_3_0;2951
4.211;B1B_0;MM1_0;2869
1.114;A1A_0;:L_3_0;3187
4.235;B1B_0;:M_0_0;2778
3.127;B1B_0;:L_3_0;2960
4.212;B1B_0;MM1_0;2879
3.128;B1B_0;:L_3_0;2963
2.117;A1A_0;MM1_0;2659
1.115;A1A_0;:L_3_0;3202
4.213;B1B_0;MM1_0;2890
3.129;B1B_0;:L_3_0;2971
2.118;A1A_0;MM1_0;2664
1.116;A1A_0;:L_3_0;3214
4.214;B1B_0;MM1_0;2901
3.130;B1B_0;:L_3_0;2981
2.59;A1A_0;:M_0_0;3214
1.117;A1A_0;:L_3_0;3222
4.215;B1B_0;MM1_0;2911
3.131;B1B_0;:L_3_0;2989
2.119;A1A_0;MM1_0;2684
1.118;A1A_0;:L_3_0;3234
4.216;B1B_0;MM1_0;2921
3.132;B1B_0;:L_3_0;3000
2.120;A1A_0;:M_0_0;2688
3.133;B1B_0;:L_3_0;2999
4.217;B1B_0;:M_0_0;2933
1.119;A1A_0;:L_3_0;3251
4.236;B1B_0;MM1_0;2858
3.134;B1B_0;:L_3_0;3010
4.218;B1B_0;MM1_0;2942
1.120;A1A_0;:L_3_0;3263
2.60;A1A_0;:M_0_0;3262
3.135;B1B_0;:L_3_0;3017
4.219;B1B_0;:M_0_0;2953
3.136;B1B_0;:L_3_0;3020
2.121;A1A_0;:M_0_0;2724
1.121;A1A_0;:L_3_0;3280
4.220;B1B_0;MM1_0;2967
3.137;B1B_0;:L_3_0;3028
2.61;A1A_0;:M_0_0;3284
1.122;A1A_0;:L_3_0;3292
4.221;B1B_0;:M_0_0;2977
3.138;B1B_0;:L_3_0;3039
2.122;A1A_0;MM1_0;2745
3.139;B1B_0;:L_3_0;3038
4.222;B1B_0;MM1_0;2987
1.123;A1A_0;:L_3_0;3309
2.123;A1A_0;:M_0_0;2751
1.164;A1A_0;:L_3_0;3131
4.223;B1B_0;:M_0_0;3000
3.140;B1B_0;:L_3_0;3056
2.127;A1A_0;:M_0_0;2730
1.165;A1A_0;:L_3_0;3141
4.237;B1B_0;MM1_0;2949
1.124;A1A_0;:L_3_0;3337
4.224;B1B_0;MM1_0;3017
1.166;A1A_0;:L_3_0;3152
2.62;A1A_0;MM1_0;3341
3.141;B1B_0;:L_3_0;3076
4.225;B1B_0;MM1_0;3027
1.125;A1A_0;:L_3_0;3350
4.238;B1B_0;MM1_0;2974
1.167;A1A_0;:L_3_0;3166
4.226;B1B_0;MM1_0;3039
3.142;B1B_0;:L_3_0;3094
2.124;A1A_0;MM1_0;2807
1.168;A1A_0;:L_3_0;3177
4.227;B1B_0;MM1_0;3049
1.126;A1A_0;:L_3_0;3375
2.63;A1A_0;MM1_0;3376
1.169;A1A_0;:L_3_0;3186
2.125;A1A_0;MM1_0;2820
3.143;B1B_0;:L_3_0;3114
2.126;A1A_0;:M_0_0;2819
3.144;B1B_0;:L_3_0;3117
4.239;B1B_0;:M_0_0;3021
1.170;A1A_0;:L_3_0;3205
2.64;A1A_0;MM1_0;3398
1.127;A1A_0;:L_3_0;3406
2.128;A1A_0;:M_0_0;2824
1.171;A1A_0;:L_3_0;3213
2.129;A1A_0;:M_0_0;2822
3.145;B1B_0;:L_3_0;3140
4.240;B1B_0;:M_0_0;3045
1.172;A1A_0;:L_3_0;3227
4.241;B1B_0;MM1_0;3050
1.128;A1A_0;:L_3_0;3435
2.130;A1A_0;:M_0_0;2837
3.146;B1B_0;:L_3_0;3160
2.65;A1A_0;MM1_0;3436
1.173;A1A_0;:L_3_0;3244
2.131;A1A_0;MM1_0;2844
1.129;A1A_0;:L_3_0;3450
2.132;A1A_0;MM1_0;2843
1.174;A1A_0;:L_3_0;3254
2.136;A1A_0;:M_0_0;2814
3.147;B1B_0;:L_3_0;3182
4.242;B1B_0;:M_0_0;3089
1.130;A1A_0;:L_3_0;3470
2.66;A1A_0;MM1_0;3462
1.175;A1A_0;:L_3_0;3270
2.137;A1A_0;MM1_0;2827
3.148;B1B_0;:L_3_0;3199
1.176;A1A_0;:L_3_0;3280
2.133;A1A_0;MM1_0;2871
3.149;B1B_0;:L_3_0;3206
2.67;A1A_0;:M_0_0;3477
1.131;A1A_0;:L_3_0;3497
2.138;A1A_0;MM1_0;2841
1.177;A1A_0;:L_3_0;3296
2.134;A1A_0;MM1_0;2885
3.150;B1B_0;:L_3_0;3223
2.139;A1A_0;MM1_0;2846
1.178;A1A_0;:L_3_0;3307
2.135;A1A_0;:M_0_0;2890
1.132;A1A_0;:L_3_0;3523
4.243;B1B_0;MM1_0;3151
1.179;A1A_0;:L_3_0;3316
2.140;A1A_0;MM1_0;2859
1.197;A1A_0;:L_3_0;3240
4.244;B1B_0;MM1_0;3163
1.180;A1A_0;:L_3_0;3326
2.68;A1A_0;MM1_0;3526
1.198;A1A_0;:L_3_0;3251
2.141;A1A_0;MM1_0;2871
1.133;A1A_0;:L_3_0;3552
2.142;A1A_0;:M_0_0;2869
1.181;A1A_0;:L_3_0;3340
4.245;B1B_0;MM1_0;3185
1.199;A1A_0;:L_3_0;3267
2.69;A1A_0;MM1_0;3546
1.182;A1A_0;:L_3_0;3353
2.143;A1A_0;MM1_0;2883
1.134;A1A_0;:L_3_0;3578
4.246;B1B_0;MM1_0;3202
1.183;A1A_0;:L_3_0;3362
4.247;B1B_0;MM1_0;3206
1.200;A1A_0;:L_3_0;3295
2.70;A1A_0;:M_0_0;3566
1.184;A1A_0;:L_3_0;3376
2.144;A1A_0;:M_0_0;2905
1.201;A1A_0;:L_3_0;3304
2.158;A1A_0;:M_0_0;2785
1.135;A1A_0;:L_3_0;3612
2.145;A1A_0;:M_0_0;2910
1.185;A1A_0;:L_3_0;3392
2.160;A1A_0;MM1_0;2782
1.202;A1A_0;:L_3_0;3325
4.248;B1B_0;MM1_0;3246
1.186;A1A_0;:L_3_0;3403
2.146;A1A_0;MM1_0;2923
1.136;A1A_0;:L_3_0;3637
2.71;A1A_0;MM1_0;3609
1.187;A1A_0;:L_3_0;3410
2.163;A1A_0;:M_0_0;2782
3.151;B1B_0;:L_3_0;3376
2.147;A1A_0;:M_0_0;2935
1.203;A1A_0;:L_3_0;3351
4.249;B1B_0;MM1_0;3277
1.188;A1A_0;:L_3_0;3428
4.250;B1B_0;MM1_0;3281
1.137;A1A_0;:L_3_0;3666
2.148;A1A_0;:M_0_0;2949
1.189;A1A_0;:L_3_0;3436
2.72;A1A_0;:M_0_0;3645
1.204;A1A_0;:L_3_0;3377
1.214;A1A_0;:L_0_0;3338
2.165;A1A_0;MM1_0;2810
1.138;A1A_0;:L_3_0;3685
2.149;A1A_0;MM1_0;2963
1.190;A1A_0;:L_3_0;3456
2.73;A1A_0;MM1_0;3658
1.215;A1A_0;:L_0_0;3349
1.205;A1A_0;:L_3_0;3397
2.150;A1A_0;:M_0_0;2968
