# type: node_to_node, edge_to_node, edge_to_node_list, edges_toll_cost
edge_to_node_list
# number of horizontal nodes (integer), number of vertical nodes (integer)
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial32to32,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial33to33,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial34to34,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial40to40,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial41to41,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial42to42,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial43to43,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
fromArtificial44to44,44
